video,type,n_paires,mean_velocity_mean,max_velocity_mean,direction_mean,spatial_correlation_mean,vorticity_mean,divergence_mean,elongation_mean,dispersion_angle_mean,expansion_rate_mean,mean_velocity_std,max_velocity_std,direction_std,spatial_correlation_std,vorticity_std,divergence_std,elongation_std,dispersion_angle_std,expansion_rate_std
Bac_19.MP4,bacteria,41,29.7987,73.9884,170.8806,0.2748,0.0599,0.1094,2.7951,64.955,0.0041,8.1608,17.4035,88.5977,0.245,0.0484,0.075,1.5128,17.7523,0.3144
Bac_20.MP4,bacteria,67,23.8744,68.8092,211.2798,0.2886,0.066,0.1016,2.6355,53.4379,0.1585,9.5382,23.2988,95.9626,0.189,0.0562,0.0794,1.2662,19.2009,0.9201
Bac_21.MP4,bacteria,64,27.8184,76.4541,193.3448,0.21,0.0984,0.1165,1.7472,66.2735,0.0285,7.1802,14.7093,92.7213,0.1313,0.0697,0.0723,0.376,17.936,0.2597
Bac_22.MP4,bacteria,26,31.9645,83.7504,200.1453,0.1164,0.0724,0.0904,1.9491,61.2064,0.3766,3.3368,5.3736,93.6353,0.1197,0.049,0.0668,0.6224,25.3024,1.4374
Bac_23.MP4,bacteria,48,14.3381,21.8259,209.7514,0.9007,0.0956,0.1233,2.4653,86.735,-0.0018,7.3936,10.6604,86.8463,0.0603,0.0701,0.1033,0.3189,2.3925,0.0429
Bac_24.MP4,bacteria,54,20.6675,31.388,184.0193,0.8213,0.1374,0.3866,1.6172,45.7713,0.0821,10.5163,13.953,101.0174,0.1795,0.1382,0.2834,0.3844,24.8084,0.4081
Bac_25.MP4,bacteria,62,12.7149,22.2671,206.1288,0.7975,0.0842,0.1543,1.8958,61.642,0.0263,8.1823,14.2564,95.8043,0.1914,0.0759,0.1396,0.4791,25.3831,0.2305
Bac_26.MP4,bacteria,67,21.8508,28.9721,206.8721,0.8982,0.112,0.2421,1.9233,74.4868,0.0189,11.2547,14.5145,88.0634,0.1157,0.1066,0.2159,0.2663,8.808,0.2293
Bac_27.MP4,bacteria,38,29.3918,45.2463,221.5975,0.8374,0.1559,0.5027,1.7002,63.7175,0.0251,11.8271,15.7377,96.8173,0.2011,0.1414,0.4377,0.51,26.6635,0.2771
Bac_28.MP4,bacteria,68,16.5494,25.8005,190.1972,0.8409,0.131,0.2038,1.9747,81.5942,0.0074,8.705,13.6635,106.8818,0.1928,0.1214,0.2698,0.1805,5.4927,0.058
Bac_29.MP4,bacteria,48,19.3133,34.6313,192.2404,0.7278,0.1197,0.2514,1.8365,80.1986,0.0266,10.7823,24.1439,103.4488,0.301,0.1235,0.2711,0.2628,7.6884,0.2813
Bac_30.MP4,bacteria,186,26.2419,60.3218,192.5154,0.3562,0.2761,0.378,2.1036,66.0875,11.8328,13.3138,31.6633,94.9635,0.3755,0.3444,0.4253,0.7957,27.4772,123.9655
Simu_1.MP4,simulation,20,23.284,51.935,172.4413,0.2773,2.331,2.2263,1.9778,45.0838,0.1871,14.2572,28.6222,91.8364,0.2676,3.3365,2.7961,0.5791,20.7293,0.9325
Simu_2.MP4,simulation,38,29.4431,64.8547,190.6129,0.153,2.6976,2.6116,2.5204,52.9641,0.8374,10.8033,22.8526,113.2799,0.1453,2.8339,2.6998,3.2461,30.3942,2.1295
Simu_3.MP4,simulation,37,24.9223,56.971,199.0385,0.2286,2.1284,1.9878,2.5362,59.2068,0.5444,12.1727,26.5111,112.2957,0.2614,1.8646,2.1735,2.8276,28.7847,2.3925
Simu_4.MP4,simulation,36,30.4888,69.3833,191.9896,0.1234,2.3868,2.7257,2.205,47.12,0.5179,9.8389,18.9453,102.375,0.0588,1.9185,2.2413,3.3123,29.8813,1.4095
Simu_5.MP4,simulation,37,27.0856,63.3198,156.1448,0.1649,1.7605,2.0098,2.0529,50.3807,0.4586,11.3409,23.3719,96.3288,0.1712,1.7439,1.4463,1.078,29.6094,1.5638
Simu_6.MP4,simulation,38,26.9388,60.5557,204.143,0.25,1.3949,2.3205,1.9881,48.8047,0.5031,12.4005,28.0848,97.9317,0.2795,1.3315,2.3674,1.6057,26.6954,1.289
Simu_7.MP4,simulation,36,28.2829,65.4563,201.3073,0.2089,1.8361,2.3633,1.9885,54.3998,0.5654,11.2258,24.6288,96.0625,0.2203,1.5762,1.9493,1.8547,25.4055,1.6949
Simu_8.MP4,simulation,66,22.567,57.0214,176.8984,0.2753,1.6028,1.5704,1.752,41.1562,0.4702,12.669,31.1667,98.6733,0.2922,1.6076,1.7282,1.3695,26.5623,1.5348
Simu_9.MP4,simulation,65,22.4179,59.94,168.1591,0.2549,1.6399,1.7053,1.7249,29.8348,0.2875,11.0733,28.8309,106.2012,0.2823,1.4475,1.5313,0.5016,27.3799,0.9286
Simu_10.MP4,simulation,64,22.3549,58.622,200.6972,0.2639,1.5595,1.69,1.8657,42.9241,0.7872,12.4231,31.0613,94.6536,0.3025,1.4998,1.8513,1.6535,26.1052,2.1567
Simu_11.MP4,simulation,82,19.0323,51.7005,190.6299,0.3213,1.4574,1.8403,1.9015,38.5777,0.8939,13.1142,33.2402,90.2417,0.2997,1.4884,1.6863,1.3515,29.1598,2.2435
Simu_12.MP4,simulation,76,24.1906,62.0691,216.4202,0.2335,1.7692,1.7573,1.8819,35.5429,0.4154,11.4339,27.6452,101.069,0.2824,1.6692,1.6869,1.038,26.0648,1.3298
Simu_13.MP4,simulation,93,23.6963,60.911,190.5863,0.2478,1.6354,1.6068,1.703,36.31,1.489,11.3143,28.1532,107.1493,0.2841,1.4764,1.4938,0.6375,31.3328,9.3666
Simu_14.MP4,simulation,94,22.9282,58.2119,181.9392,0.2476,1.8571,1.6378,1.8542,37.2859,1.448,12.4802,31.035,99.3204,0.2832,1.835,1.6159,0.7947,28.7583,8.6991
Simu_15.MP4,simulation,83,26.4445,68.1918,192.692,0.1736,1.9203,2.036,1.6964,37.4492,1.6877,9.2322,21.7466,95.2324,0.1831,1.8451,1.8005,0.5394,30.6984,10.6049
Simu_16.MP4,simulation,71,25.1919,65.9527,203.491,0.182,1.6893,1.7692,1.729,39.3974,0.3966,9.1523,22.7919,98.1366,0.2173,1.5241,1.4756,0.9047,27.5583,1.2715
Simu_17.MP4,simulation,68,25.8643,66.2254,202.113,0.1972,1.765,1.9484,1.7551,44.1838,0.6777,9.4889,22.8725,97.7515,0.2045,1.6701,1.5415,0.4894,30.5093,2.1514
Simu_18.MP4,simulation,77,24.4174,64.3098,176.2183,0.2064,1.9463,1.8844,1.7122,37.9237,0.3078,10.0571,24.2088,114.2049,0.2309,1.6167,1.616,0.6057,28.595,0.9632
Simu_19.MP4,simulation,69,23.9256,62.2575,186.8014,0.2456,1.6391,1.7979,1.7478,37.6353,1.0517,11.0498,27.8666,98.3192,0.2635,1.2844,1.4965,1.4308,27.3246,4.9336
Simu_20.MP4,simulation,71,24.5465,64.8743,180.0206,0.1759,1.7447,1.7234,1.7621,44.3281,0.4145,10.2171,23.8394,105.5164,0.1959,1.6088,1.4793,0.6566,27.282,1.2432
Simu_21.MP4,simulation,69,24.6554,63.7218,195.1661,0.215,1.8186,2.0027,1.8147,40.3569,0.6018,11.0818,26.1221,104.0836,0.2544,1.3962,1.8517,0.9132,31.5411,1.8578
